Agency,Date,District,VDC_Municipality,Ward,Age,Gender,Ethnicity,Ethnicity_Other,Occupation,Occupation_Other,Do_you_have_any_health_problem,A0JS,A1JS,A2JS,A3JS,B0JS,B1JS,B2JS,C0JS,C1JS,C2JS,D0JS,D1JS,D2JS,E0JS,E1JS,E2JS,F0JS,H0JS,I0JS,J0JS,J1JS,J2JS
accountability,25/08/2015,Bhaktapur,Bhaktapur NP,4,55_greater,male,Newar,n/a,farmer_laborer,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,2___very_little,building_mater,cash_for_work,don_t_know,n/a,n/a,1___not_at_all,building_mater,cash_for_work,4___mostly_yes,n/a,n/a,5___completely_yes,don_t_know,don_t_know,n/a,n/a,n/a
accountability,25/08/2015,Bhaktapur,Bhaktapur NP,4,40_54,female,Newar,n/a,other,Housewife,no_difficulty,1___not_at_all,long_term_shelter__housing,psychosocial_counseling,livelihoods,1___not_at_all,building_mater,cash_for_work,1___not_at_all,how_to_get_shelter_materials,news_about_government_decision,4___mostly_yes,n/a,n/a,don_t_know,n/a,n/a,1___not_at_all,1___not_at_all,1___not_at_all,2___very_little,long_term_shelter__housing,toilets_sanitation
accountability,25/08/2015,Bhaktapur,Bhaktapur NP,4,40_54,female,Newar,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,psychosocial_counseling,livelihoods,1___not_at_all,building_mater,cash_for_work,1___not_at_all,how_to_get_shelter_materials,how_to_get_healthcare_psycholo,1___not_at_all,building_mater,cash_for_work,don_t_know,n/a,n/a,1___not_at_all,1___not_at_all,1___not_at_all,2___very_little,long_term_shelter__housing,financial_support
accountability,25/08/2015,Bhaktapur,Bhaktapur NP,4,40_54,female,Newar,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,short_term_she,psychosocial_counseling,food,1___not_at_all,building_mater,cash_for_work,2___very_little,how_to_get_shelter_materials,news_about_government_decision,1___not_at_all,building_mater,cash_for_work,don_t_know,n/a,n/a,1___not_at_all,1___not_at_all,1___not_at_all,1___not_at_all,short_term_shelter__tent_shelt,livelihoods
accountability,25/08/2015,Bhaktapur,Bhaktapur NP,4,55_greater,male,Newar,n/a,farmer_laborer,n/a,yes__a_lot_of_,1___not_at_all,long_term_shelter__housing,livelihoods,financial_support,1___not_at_all,cash_for_work,building_mater,2___very_little,how_to_get_shelter_materials,news_about_government_decision,1___not_at_all,cash_for_work,building_mater,4___mostly_yes,n/a,n/a,1___not_at_all,1___not_at_all,don_t_know,n/a,n/a,n/a
accountability,26/08/2015,Bhaktapur,Bhaktapur NP,5,55_greater,male,Newar,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,livelihoods,financial_support,1___not_at_all,building_mater,cash_for_work,1___not_at_all,news_about_government_decision,how_to_get_shelter_materials,1___not_at_all,building_mater,cash_for_work,1___not_at_all,because_people,only_if_damage,4___mostly_yes,1___not_at_all,1___not_at_all,n/a,n/a,n/a
accountability,26/08/2015,Bhaktapur,Bhaktapur NP,5,55_greater,male,Newar,n/a,farmer_laborer,n/a,yes__a_lot_of_,4___mostly_yes,n/a,n/a,n/a,2___very_little,building_mater,cash_for_work,2___very_little,how_to_get_shelter_materials,how_to_register_for_access_sup,4___mostly_yes,n/a,n/a,4___mostly_yes,n/a,n/a,2___very_little,1___not_at_all,2___very_little,n/a,n/a,n/a
accountability,26/08/2015,Bhaktapur,Bhaktapur NP,5,25_39,female,Newar,n/a,skilled_worker,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,financial_support,healthcare,1___not_at_all,cash_for_work,building_mater,1___not_at_all,news_about_government_decision,how_to_get_shelter_materials,1___not_at_all,building_mater,cash_for_work,don_t_know,n/a,n/a,1___not_at_all,1___not_at_all,1___not_at_all,1___not_at_all,long_term_shelter__housing,healthcare
accountability,26/08/2015,Bhaktapur,Bhaktapur NP,5,40_54,female,Newar,n/a,other,Housewife,no_difficulty,1___not_at_all,long_term_shelter__housing,housing_inspections,financial_support,2___very_little,cash_for_work,building_mater,2___very_little,how_to_get_shelter_materials,how_to_register_for_access_sup,4___mostly_yes,n/a,n/a,don_t_know,n/a,n/a,2___very_little,2___not_very_m,1___not_at_all,1___not_at_all,long_term_shelter__housing,housing_inspections
accountability,26/08/2015,Bhaktapur,Bhaktapur NP,5,25_39,female,Newar,n/a,other,Housewife,no_difficulty,1___not_at_all,long_term_shelter__housing,housing_inspections,financial_support,2___very_little,cash_for_work,building_mater,2___very_little,how_to_get_shelter_materials,how_to_register_for_access_sup,4___mostly_yes,n/a,n/a,don_t_know,n/a,n/a,2___very_little,1___not_at_all,1___not_at_all,2___very_little,long_term_shelter__housing,housing_inspections
