Agency,Date,District,VDC_Municipality,Ward,Age,Gender,Ethnicity,Ethnicity_Other,Occupation,Occupation_Other,Do_you_have_any_health_problem,A0JS,A1JS,A2JS,A3JS,B0JS,B1JS,B2JS,C0JS,C1JS,C2JS,D0JS,D1JS,D2JS,E0JS,E1JS,E2JS,F0JS,H0JS,I0JS,J0JS,J1JS,J2JS
accountability,2015-09-30,Kathmandu,Satungal,1,40_54,female,Newar,,other,Nothing,no_difficulty,1___not_at_all,long_term_shelter__housing,financial_support,livelihoods,2___very_little,building_mater,food_aid,don_t_know,,,4___mostly_yes,,,don_t_know,,,4___mostly_yes,1___not_at_all,don_t_know,1___not_at_all,long_term_shelter__housing,livelihoods
accountability,2015-09-26,Kathmandu,Satungal,1,55_greater,male,Newar,,skilled_worker,,no_difficulty,2___very_little,long_term_shelter__housing,financial_support,livelihoods,1___not_at_all,cash_for_work,building_mater,2___very_little,news_about_government_decision,how_to_get_shelter_materials,2___very_little,building_mater,food_aid,2___very_little,based_on_caste,based_on_polit,4___mostly_yes,2___not_very_m,2___very_little,,,
accountability,2015-09-26,Kathmandu,Satungal,1,55_greater,male,Newar,,skilled_worker,,no_difficulty,2___very_little,long_term_shelter__housing,financial_support,livelihoods,2___very_little,building_mater,cash_for_work,2___very_little,news_about_government_decision,how_to_get_shelter_materials,4___mostly_yes,,,2___very_little,based_on_caste,based_on_polit,4___mostly_yes,1___not_at_all,1___not_at_all,,,
accountability,2015-09-28,Kathmandu,Jhormahankal,2,15_24,female,Tamang,,other,Student,yes__some_diff,3___neutral,long_term_shelter__housing,education,financial_support,3___neutral,building_mater,cash_for_work,4___mostly_yes,,,3___neutral,building_mater,cash_for_work,3___neutral,based_on_dista,first_come__fi,4___mostly_yes,3___neutral,3___neutral,4___mostly_yes,,
accountability,2015-09-28,Kathmandu,Jhormahankal,2,25_39,female,Tamang,,other,Housewife,no_difficulty,3___neutral,short_term_she,long_term_shelter__housing,financial_support,3___neutral,building_mater,cash_for_work,3___neutral,news_about_government_decision,how_to_get_shelter_materials,3___neutral,building_mater,cash_for_work,3___neutral,based_on_polit,first_come__fi,4___mostly_yes,3___neutral,2___very_little,4___mostly_yes,,
accountability,2015-09-28,Kathmandu,Jhormahankal,2,40_54,female,Tamang,,other,Not mentioned,no_difficulty,1___not_at_all,long_term_shelter__housing,financial_support,livelihoods,2___very_little,cash_for_work,building_mater,2___very_little,news_about_government_decision,how_to_register_for_access_sup,2___very_little,building_mater,cash_for_work,2___very_little,first_come__fi,based_on_polit,3___neutral,3___neutral,2___very_little,3___neutral,long_term_shelter__housing,financial_support
accountability,2015-09-28,Kathmandu,Jhormahankal,2,40_54,male,Tamang,,farmer_laborer,,yes__some_diff,3___neutral,short_term_she,financial_support,long_term_shelter__housing,3___neutral,building_mater,cash_for_work,4___mostly_yes,,,3___neutral,building_mater,cash_for_work,3___neutral,based_on_polit,based_on_dista,4___mostly_yes,3___neutral,3___neutral,,,
accountability,2015-09-28,Kathmandu,Jhormahankal,2,40_54,female,Tamang,,other,House wife,no_difficulty,3___neutral,long_term_shelter__housing,financial_support,toilets_sanitation,3___neutral,building_mater,cash_for_work,3___neutral,news_about_government_decision,how_to_register_for_access_sup,3___neutral,building_mater,cash_for_work,3___neutral,based_on_polit,based_on_dista,3___neutral,3___neutral,3___neutral,3___neutral,long_term_shelter__housing,financial_support
accountability,2015-09-28,Kathmandu,Sitapaila,8,25_39,female,Tamang,,other,Housewife,no_difficulty,3___neutral,long_term_shelter__housing,financial_support,other,2___very_little,building_mater,cash_for_work,4___mostly_yes,,,3___neutral,building_mater,cash_for_work,4___mostly_yes,,,4___mostly_yes,3___neutral,3___neutral,3___neutral,other,other
accountability,2015-09-28,Kathmandu,Sitapaila,8,55_greater,female,Tamang,,other,Housewife,no_difficulty,3___neutral,long_term_shelter__housing,financial_support,housing_inspections,2___very_little,building_mater,cash_for_work,3___neutral,news_about_government_decision,how_to_get_shelter_materials,2___very_little,building_mater,cash_for_work,4___mostly_yes,,,4___mostly_yes,3___neutral,3___neutral,3___neutral,long_term_shelter__housing,housing_inspections
accountability,2015-09-28,Kathmandu,Sitapaila,8,55_greater,female,Tamang,,other,Retired,no_difficulty,3___neutral,long_term_shelter__housing,financial_support,housing_inspections,2___very_little,building_mater,cash_for_work,2___very_little,news_about_government_decision,how_to_register_for_access_sup,2___very_little,building_mater,cash_for_work,4___mostly_yes,,,4___mostly_yes,3___neutral,3___neutral,,,
accountability,2015-09-28,Kathmandu,Sitapaila,8,25_39,female,Brahmin,,other,Housewife,yes__some_diff,3___neutral,long_term_shelter__housing,financial_support,livelihoods,3___neutral,building_mater,cash_for_work,3___neutral,news_about_government_decision,how_to_register_for_access_sup,3___neutral,building_mater,cash_for_work,4___mostly_yes,,,4___mostly_yes,3___neutral,3___neutral,3___neutral,long_term_shelter__housing,healthcare
